slug	verdict	year	posts_that_year	yield_pct	ok	gated	short	median_words	claim_sentences	specificity
energybadboys	SKIP-too-new	2023,2024,2025,2026								
corbettreport	SKIP-too-gated	2021	17	0	0	0	4	0	0	0
goghieas	SKIP-too-new	2025,2026								
hottakeoftheday	CANDIDATE	2021	276	75	3	0	1	544	1	82
wretchedhive	SKIP-too-new	2024,2025,2026								
meredithangwin	SKIP-too-new	2024,2025,2026								
wordswork	SKIP-too-new	2023,2024,2025,2026								
cloudwisdom	SKIP-too-new	2022,2023,2024,2025,2026								
azradale	SKIP-too-new	2022,2023,2024,2025,2026								
tangowithrenewables	SKIP-too-new	2023,2024,2025,2026								
mulling	SKIP-too-new	2022,2023,2024,2025								
tmacro06	SKIP-too-new	2025								
andrewonenergy	SKIP-too-new	2022,2023,2024,2025,2026								
thebarricade	SKIP-too-gated	2021	40	50	2	0	2	1609	2	111
spudster	SKIP-too-new	2023,2024								
prinsights	SKIP-too-new	2024,2025,2026								
m3melody	SKIP-too-new	2023,2024,2025,2026								
peterboockvar	SKIP-too-new	2023,2024,2025,2026								
bubble3	SKIP-too-new	2022								
intellectualinvestorrussian	WEAK-no-claims	2021	4	100	4	0	0	1733	0	17
cappnotes	SKIP-too-new	2024,2025,2026								
themarkethouse	SKIP-too-new	2024,2025,2026								
tgmacro	SKIP-too-new	2022,2023,2024,2025,2026								
drjennifericonsidine	SKIP-too-gated	2016	3	0	0	0	3	0	0	0
carlosramirez365	SKIP-too-new	2024,2025,2026								
jjkennedy467192	SKIP-too-new	none								
myfavoriteclassical	SKIP-too-new	2022,2023,2024,2025,2026								
bamboolounge	SKIP-too-new	2023,2024,2025,2026								
fxpoet	SKIP-too-gated	2021	1	0	0	0	1	0	0	0
weeklymarkethighlights	SKIP-too-new	2024,2025								
sweetsmind	ERROR	404 on https://sweetsmind.substack.com/sitemap								
pineconemacroresearch	SKIP-too-gated	2021	100	50	2	2	0	343	3	140
timdallinger	SKIP-too-new	2023,2024,2025,2026								
phildauber	SKIP-too-new	2023,2024,2025,2026								
lex	SKIP-too-gated	2021	161	50	2	2	0	1567	3	764
genuineimpact	SKIP-too-new	2022,2023,2024,2025,2026								
thetranscript	SKIP-too-gated	2021	79	50	2	2	0	4547	1	154
retrostack	SKIP-too-gated	2021	83	50	2	2	0	3336	2	382
virginiaheffernan	SKIP-too-gated	2021	66	0	0	4	0	0	0	0
gritcapital	SKIP-too-new	none								
pippapodcast	SKIP-too-new	2024								
fritz	SKIP-too-new	2024,2025								
bradmunchen	SKIP-too-new	2023,2024,2025,2026								
johnd12343	SKIP-too-new	2022,2023,2024,2025,2026								
spencerjakab	SKIP-too-new	2022,2024,2025,2026								
dkotok	SKIP-too-new	2025,2026								
thebearofrathgar	WEAK-no-claims	2021	13	100	4	0	0	891	0	106
keubiko	CANDIDATE	2021	7	100	4	0	0	992	1	160
thechancerydaily	SKIP-too-new	2022,2023,2024								
the69thchamber	SKIP-too-new	2023								
daniellealmond	SKIP-too-new	2024,2025,2026								
christianlorentzen	SKIP-too-new	2022,2023,2024,2025,2026								
rogerpielkejr	CANDIDATE	2021	41	100	4	0	0	1458	7	95
totemtik	SKIP-too-new	2026								
wirescrossed	SKIP-too-new	2024,2025,2026								
trevorcasper	SKIP-too-new	2022,2023,2024,2025,2026								
genehoots	CANDIDATE	2021	17	100	4	0	0	1093	1	120
ianbezek	SKIP-too-new	2022,2023,2024,2025,2026								
andvari	SKIP-too-new	2023,2024,2025,2026								
edelweisscapital	SKIP-too-new	2022,2023,2024,2025,2026								
recital	SKIP-too-new	2023,2024,2025,2026								
buybackcapital	SKIP-too-new	2023,2024,2025,2026								
mbideepdives	SKIP-too-gated	2021	15	0	0	4	0	0	0	0
andrewbrown174150	SKIP-too-new	2026								
poundtherockinvesting	SKIP-too-gated	2021	13	0	0	4	0	0	0	0
debunkingthedebunkers	SKIP-too-new	2023,2024								
edwardrooster	SKIP-too-new	2022,2023,2024,2025,2026								
kaizeninvesting	SKIP-too-gated	2021	2	50	1	0	1	7520	6	162
ragingbullinvestments	SKIP-too-new	2023,2024,2025								
thecytadel	SKIP-too-new	2024,2025,2026								
seriouslymarvin	SKIP-too-new	2025,2026								
kayfabecapital	CANDIDATE	2021	8	100	4	0	0	1118	1	107
